WORKSHOP 3 EXPORTED DATA: [C:\Documents and Settings\Administrator\Pulpit\Rozciaganie\w6_2.W01 - 1]					
54,400	-58,536	0,958	-44,923	206	 
54,428	-58,518	0,973	-44,908	207	 
54,453	-58,497	0,989	-44,892	208	 
54,486	-58,482	1,006	-44,876	209	 
54,519	-58,467	1,024	-44,855	210	 
54,660	-58,440	1,046	-44,842	211	 
54,697	-58,422	1,102	-44,828	212	 
54,700	-58,401	1,144	-44,811	213	 
54,702	-58,374	1,179	-44,793	214	 
54,711	-58,353	1,212	-44,783	215	 
54,712	-58,334	1,239	-44,764	216	 
54,739	-58,311	1,267	-44,751	217	 
54,761	-58,295	1,287	-44,738	218	 
54,785	-58,274	1,312	-44,719	219	 
54,814	-58,253	1,338	-44,705	220	 
54,840	-58,242	1,359	-44,689	221	 
54,873	-58,221	1,378	-44,673	222	 
54,910	-58,203	1,398	-44,659	223	 
54,942	-58,186	1,426	-44,643	224	 
54,967	-58,163	1,465	-44,628	225	 
55,143	-58,142	1,501	-44,613	226	 
55,122	-58,113	1,540	-44,595	227	 
55,093	-58,087	1,563	-44,583	228	 
55,055	-58,063	1,595	-44,567	229	 
54,958	-58,045	1,632	-44,554	230	 
54,990	-58,024	1,652	-44,532	231	 
55,027	-58,011	1,667	-44,520	232	 
55,070	-57,997	1,678	-44,502	233	 
55,115	-57,978	1,690	-44,486	234	 
55,220	-57,963	1,704	-44,475	235	 
55,276	-57,943	1,725	-44,458	236	 
55,300	-57,923	1,745	-44,442	237	 
55,306	-57,902	1,763	-44,424	238	 
55,322	-57,879	1,794	-44,410	239	 
55,332	-57,860	1,832	-44,398	240	 
55,330	-57,838	1,866	-44,381	241	 
55,344	-57,812	1,905	-44,365	242	 
55,352	-57,788	1,942	-44,351	243	 
55,365	-57,770	1,972	-44,335	244	 
55,374	-57,747	1,992	-44,324	245	 
55,395	-57,727	2,011	-44,304	246	 
55,403	-57,708	2,038	-44,289	247	 
55,422	-57,682	2,072	-44,275	248	 
55,443	-57,666	2,097	-44,259	249	 
55,461	-57,651	2,117	-44,243	250	 
55,488	-57,623	2,135	-44,227	251	 
55,501	-57,606	2,149	-44,207	252	 
55,521	-57,591	2,166	-44,194	253	 
55,536	-57,570	2,191	-44,181	254	 
55,558	-57,548	2,234	-44,168	255	 
55,574	-57,531	2,261	-44,152	256	 
55,589	-57,508	2,287	-44,139	257	 
55,606	-57,491	2,851	-44,120	258	 
55,625	-57,467	3,764	-44,102	259	 
55,642	-57,448	3,979	-44,090	260	 
55,653	-57,426	4,002	-44,068	261	 
55,669	-57,406	4,024	-44,058	262	 
55,674	-57,380	4,046	-44,043	263	 
55,672	-57,361	4,068	-44,025	264	 
55,672	-57,341	4,089	-44,014	265	 
55,685	-57,322	4,109	-43,996	266	 
55,703	-57,301	3,566	-43,980	267	 
55,714	-57,281	1,772	-43,969	268	 
55,731	-57,263	1,400	-43,950	269	 
55,747	-57,242	0,773	-43,938	270	 
55,765	-57,222	0,570	-43,921	271	 
55,780	-57,204	0,569	-43,905	272	 
55,791	-57,179	0,569	-43,890	273	 
55,801	-57,162	0,569	-43,878	274	 
55,756	-57,144	0,569	-43,860	275	 
55,782	-57,121	0,570	-43,849	276	 
55,802	-57,105	0,560	-43,832	277	 
55,827	-57,087	0,557	-43,814	278	 
55,845	-57,072	0,555	-43,802	279	 
55,869	-57,048	0,555	-43,782	280	 
55,878	-57,029	0,555	-43,766	281	 
55,891	-57,006	0,555	-43,754	282	 
55,907	-56,982	0,555	-43,737	283	 
55,920	-56,968	0,555	-43,723	284	 
55,928	-56,943	0,555	-43,708	285	 
55,898	-56,918	0,555	-43,692	286	 
55,868	-56,901	0,555	-43,677	287	 
55,844	-56,880	0,555	-43,662	288	 
55,870	-56,862	0,556	-43,648	289	 
55,905	-56,847	0,555	-43,631	290	 
55,927	-56,828	0,555	-43,614	291	 
55,948	-56,809	0,555	-43,604	292	 
55,972	-56,792	0,555	-43,588	293	 
55,990	-56,771	0,555	-43,565	294	 
56,005	-56,749	0,555	-43,552	295	 
56,018	-56,728	0,555	-43,533	296	 
56,027	-56,707	0,555	-43,517	297	 
56,032	-56,683	0,556	-43,504	298	 
56,014	-56,661	0,556	-43,487	299	 
55,878	-56,640	0,555	-43,471	300	 
55,903	-56,626	0,556	-43,459	301	 
55,936	-56,612	0,555	-43,443	302	 
55,968	-56,592	0,555	-43,425	303	 
56,000	-56,571	0,555	-43,414	304	 
56,031	-56,559	0,555	-43,399	305	 
56,055	-56,538	0,555	-43,377	306	 
56,072	-56,517	0,555	-43,365	307	 
56,082	-56,499	0,555	-43,354	308	 
56,097	-56,476	0,556	-43,334	309	 
56,112	-56,448	0,556	-43,322	310	 
56,111	-56,426	0,555	-43,308	311	 
56,104	-56,401	0,556	-43,289	312	 
55,950	-56,382	0,555	-43,276	313	 
55,859	-56,366	0,556	-43,259	314	 
55,908	-56,351	0,555	-43,244	315	 
55,957	-56,334	0,555	-43,228	316	 
56,010	-56,320	0,555	-43,211	317	 
56,060	-56,308	0,556	-43,201	318	 
56,148	-56,285	0,555	-43,186	319	 
56,175	-56,264	0,556	-43,167	320	 
56,181	-56,239	0,555	-43,152	321	 
56,170	-56,214	0,556	-43,138	322	 
56,159	-56,186	0,556	-43,123	323	 
56,135	-56,165	0,555	-43,105	324	 
56,090	-56,137	0,556	-43,094	325	 
55,940	-56,114	0,555	-43,077	326	 
55,941	-56,103	0,556	-43,061	327	 
55,969	-56,084	0,555	-43,045	328	 
56,004	-56,066	0,556	-43,030	329	 
56,035	-56,058	0,556	-43,013	330	 
56,071	-56,037	0,556	-43,000	331	 
56,101	-56,017	0,556	-42,985	332	 
56,120	-55,998	0,556	-42,970	333	 
56,134	-55,976	0,555	-42,955	334	 
56,147	-55,955	0,556	-42,942	335	 
56,156	-55,934	0,556	-42,924	336	 
56,158	-55,910	0,555	-42,903	337	 
56,148	-55,883	0,556	-42,891	338	 
56,133	-55,860	0,556	-42,875	339	 
56,098	-55,838	0,556	-42,860	340	 
55,873	-55,818	0,555	-42,849	341	 
55,909	-55,806	0,555	-42,828	342	 
55,947	-55,793	0,556	-42,814	343	 
55,986	-55,774	0,556	-42,798	344	 
56,028	-55,762	0,556	-42,783	345	 
56,072	-55,743	0,555	-42,768	346	 
56,154	-55,722	0,555	-42,752	347	 
56,159	-55,700	0,556	-42,740	348	 
56,157	-55,683	0,556	-42,717	349	 
56,139	-55,655	0,556	-42,709	350	 
56,121	-55,632	0,555	-42,695	351	 
56,085	-55,607	0,556	-42,678	352	 
56,040	-55,577	0,556	-42,661	353	 
55,977	-55,554	0,556	-42,647	354	 
55,721	-55,546	0,556	-42,632	355	 
55,771	-55,528	0,556	-42,614	356	 
55,828	-55,517	0,556	-42,602	357	 
55,911	-55,505	0,555	-42,586	358	 
56,136	-55,484	0,555	-42,565	359	 
56,129	-55,459	0,556	-42,552	360	 
56,103	-55,433	0,556	-42,536	361	 
56,066	-55,409	0,556	-42,520	362	 
56,022	-55,378	0,556	-42,505	363	 
55,958	-55,353	0,555	-42,486	364	 
55,883	-55,334	0,555	-42,476	365	 
55,738	-55,313	0,556	-42,460	366	 
55,771	-55,299	0,556	-42,444	367	 
55,796	-55,285	0,556	-42,432	368	 
55,821	-55,269	0,556	-42,415	369	 
55,861	-55,251	0,556	-42,400	370	 
55,873	-55,236	0,556	-42,382	371	 
55,879	-55,221	0,555	-42,373	372	 
55,898	-55,199	0,556	-42,355	373	 
55,898	-55,180	0,556	-42,339	374	 
55,896	-55,156	0,555	-42,324	375	 
55,881	-55,130	0,556	-42,306	376	 
55,859	-55,110	0,556	-42,297	377	 
55,823	-55,082	0,556	-42,278	378	 
55,771	-55,058	0,556	-42,259	379	 
55,576	-55,035	0,556	-42,242	380	 
55,430	-55,021	0,555	-42,227	381	 
55,474	-55,007	0,556	-42,213	382	 
55,528	-54,995	0,556	-42,198	383	 
55,580	-54,979	0,555	-42,181	384	 
55,655	-54,963	0,555	-42,170	385	 
55,740	-54,943	0,555	-42,152	386	 
55,767	-54,923	0,556	-42,135	387	 
55,718	-54,892	0,556	-42,119	388	 
55,659	-54,862	0,556	-42,106	389	 
55,565	-54,836	0,555	-42,091	390	 
55,257	-54,807	0,556	-42,069	391	 
55,122	-54,796	0,556	-42,060	392	 
55,166	-54,785	0,556	-42,046	393	 
55,239	-54,772	0,556	-42,028	394	 
55,312	-54,762	0,556	-42,016	395	 
55,433	-54,743	0,556	-41,997	396	 
55,545	-54,721	0,556	-41,981	397	 
55,489	-54,693	0,556	-41,970	398	 
55,390	-54,665	0,556	-41,954	399	 
55,287	-54,631	0,556	-41,938	400	 
55,032	-54,611	0,556	-41,927	401	 
55,024	-54,595	0,556	-41,904	402	 
55,053	-54,574	0,556	-41,893	403	 
55,053	-54,556	0,556	-41,883	404	 
55,052	-54,538	0,556	-41,862	405	 
55,050	-54,512	0,555	-41,844	406	 
55,041	-54,492	0,555	-41,832	407	 
54,972	-54,468	0,556	-41,817	408	 
54,767	-54,453	0,556	-41,801	409	 
54,780	-54,433	0,556	-41,788	410	 
54,796	-54,418	0,556	-41,773	411	 
54,811	-54,404	0,555	-41,753	412	 
54,826	-54,381	0,555	-41,742	413	 
54,797	-54,362	0,556	-41,724	414	 
54,773	-54,339	0,555	-41,708	415	 
54,717	-54,313	0,556	-41,698	416	 
54,240	-54,293	0,556	-41,681	417	 
54,249	-54,282	0,556	-41,664	418	 
54,314	-54,269	0,556	-41,652	419	 
54,388	-54,258	0,556	-41,636	420	 
54,504	-54,243	0,556	-41,620	421	 
54,598	-54,218	0,556	-41,596	422	 
54,522	-54,190	0,556	-41,580	423	 
54,401	-54,163	0,556	-41,564	424	 
54,235	-54,124	0,556	-41,550	425	 
53,827	-54,113	0,556	-41,536	426	 
53,888	-54,097	0,556	-41,521	427	 
53,912	-54,077	0,556	-41,504	428	 
53,927	-54,065	0,556	-41,491	429	 
53,930	-54,048	0,556	-41,476	430	 
53,941	-54,030	0,555	-41,460	431	 
53,920	-54,010	0,556	-41,445	432	 
53,895	-53,988	0,556	-41,427	433	 
53,847	-53,959	0,556	-41,416	434	 
53,689	-53,929	0,556	-41,402	435	 
53,032	-53,929	0,556	-41,388	436	 
53,124	-53,917	0,556	-41,365	437	 
53,534	-53,897	0,556	-41,355	438	 
53,569	-53,880	0,556	-41,338	439	 
53,509	-53,850	0,556	-41,322	440	 
53,393	-53,820	0,556	-41,311	441	 
53,198	-53,789	0,556	-41,293	442	 
52,802	-53,771	0,556	-41,276	443	 
52,828	-53,757	0,556	-41,262	444	 
52,847	-53,741	0,556	-41,245	445	 
52,860	-53,722	0,556	-41,233	446	 
52,837	-53,702	0,556	-41,217	447	 
52,843	-53,686	0,556	-41,202	448	 
52,773	-53,658	0,556	-41,186	449	 
52,659	-53,630	0,556	-41,173	450	 
51,962	-53,623	0,556	-41,157	451	 
52,083	-53,612	0,556	-41,140	452	 
52,363	-53,596	0,556	-41,127	453	 
52,504	-53,577	0,555	-41,113	454	 
52,438	-53,549	0,556	-41,094	455	 
52,214	-53,511	0,556	-41,080	456	 
51,307	-53,502	0,556	-41,065	457	 
51,421	-53,489	0,556	-41,048	458	 
51,688	-53,475	0,556	-41,037	459	 
51,947	-53,459	0,556	-41,018	460	 
51,885	-53,433	0,556	-41,005	461	 
51,671	-53,393	0,555	-40,988	462	 
51,031	-53,371	0,556	-40,970	463	 
51,041	-53,359	0,556	-40,953	464	 
51,088	-53,341	0,556	-40,939	465	 
51,132	-53,320	0,556	-40,921	466	 
51,137	-53,307	0,556	-40,904	467	 
51,097	-53,285	0,556	-40,894	468	 
50,985	-53,257	0,556	-40,877	469	 
50,187	-53,241	0,556	-40,861	470	 
50,057	-53,227	0,556	-40,850	471	 
50,359	-53,211	0,556	-40,832	472	 
50,635	-53,196	0,556	-40,817	473	 
50,545	-53,167	0,556	-40,799	474	 
50,159	-53,129	0,556	-40,786	475	 
0,008	-53,070	0,562	-40,769	476	 
0,004	-53,043	0,562	-40,756	477	 
0,006	-53,030	0,562	-40,743	478	 
0,006	-53,011	0,562	-40,726	479	 
