WORKSHOP 3 EXPORTED DATA: [C:\Documents and Settings\Administrator\Pulpit\Rozciaganie\w7_1.W01 - 1]					
61,658	-56,158	1,166	-43,095	212	 
61,665	-56,137	1,166	-43,081	213	 
61,677	-56,120	1,167	-43,066	214	 
61,659	-56,095	1,167	-43,050	215	 
61,522	-56,081	1,167	-43,035	216	 
61,550	-56,058	1,166	-43,021	217	 
61,550	-56,035	1,167	-43,004	218	 
61,425	-56,018	1,167	-42,989	219	 
61,430	-55,995	1,166	-42,972	220	 
61,378	-55,978	1,166	-42,954	221	 
61,301	-55,956	1,167	-42,944	222	 
61,334	-55,936	1,167	-42,926	223	 
61,324	-55,919	1,167	-42,910	224	 
61,264	-55,897	1,166	-42,894	225	 
61,076	-55,877	1,166	-42,882	226	 
61,126	-55,860	1,166	-42,860	227	 
61,155	-55,841	1,167	-42,850	228	 
61,139	-55,818	1,167	-42,832	229	 
61,055	-55,795	1,166	-42,816	230	 
60,860	-55,773	1,167	-42,808	231	 
60,883	-55,757	1,167	-42,794	232	 
60,885	-55,739	1,167	-42,771	233	 
60,822	-55,717	1,166	-42,756	234	 
60,744	-55,691	1,167	-42,741	235	 
60,686	-55,676	1,167	-42,728	236	 
60,682	-55,655	1,166	-42,710	237	 
60,533	-55,633	1,167	-42,697	238	 
60,504	-55,614	1,167	-42,681	239	 
60,500	-55,594	1,166	-42,662	240	 
60,300	-55,574	1,167	-42,652	241	 
60,320	-55,559	1,167	-42,634	242	 
60,339	-55,538	1,167	-42,621	243	 
60,311	-55,514	1,166	-42,596	244	 
60,210	-55,494	1,167	-42,588	245	 
60,024	-55,474	1,167	-42,572	246	 
60,031	-55,454	1,167	-42,552	247	 
60,020	-55,432	1,166	-42,542	248	 
59,816	-55,412	1,167	-42,531	249	 
59,794	-55,398	1,166	-42,513	250	 
59,869	-55,383	1,167	-42,492	251	 
59,805	-55,355	1,166	-42,479	252	 
59,475	-55,334	1,167	-42,463	253	 
59,492	-55,317	1,167	-42,454	254	 
59,508	-55,295	1,166	-42,435	255	 
59,492	-55,275	1,166	-42,417	256	 
59,354	-55,251	1,167	-42,405	257	 
59,241	-55,235	1,167	-42,388	258	 
59,231	-55,214	1,167	-42,371	259	 
59,118	-55,194	1,166	-42,356	260	 
59,005	-55,173	1,166	-42,343	261	 
58,924	-55,150	1,167	-42,325	262	 
58,765	-55,133	1,167	-42,306	263	 
58,736	-55,111	1,167	-42,294	264	 
58,726	-55,098	1,167	-42,280	265	 
58,580	-55,072	1,167	-42,267	266	 
58,510	-55,046	1,166	-42,248	267	 
58,324	-55,034	1,167	-42,231	268	 
58,324	-55,014	1,166	-42,218	269	 
58,248	-54,994	1,167	-42,200	270	 
58,130	-54,972	1,167	-42,181	271	 
58,054	-54,950	1,167	-42,173	272	 
57,842	-54,934	1,166	-42,157	273	 
57,850	-54,917	1,167	-42,137	274	 
57,780	-54,891	1,167	-42,126	275	 
57,563	-54,872	1,167	-42,110	276	 
57,575	-54,852	1,167	-42,097	277	 
57,509	-54,831	1,167	-42,080	278	 
57,225	-54,818	1,166	-42,062	279	 
57,204	-54,794	1,167	-42,047	280	 
57,127	-54,774	1,166	-42,036	281	 
56,943	-54,751	1,167	-42,019	282	 
56,875	-54,732	1,167	-42,003	283	 
56,657	-54,715	1,167	-41,988	284	 
56,685	-54,694	1,167	-41,971	285	 
56,595	-54,673	1,166	-41,959	286	 
56,230	-54,655	1,166	-41,942	287	 
56,253	-54,634	1,167	-41,926	288	 
56,207	-54,612	1,167	-41,915	289	 
56,021	-54,593	1,167	-41,897	290	 
55,847	-54,570	1,167	-41,883	291	 
55,740	-54,553	1,167	-41,865	292	 
55,600	-54,531	1,167	-41,848	293	 
55,487	-54,514	1,167	-41,839	294	 
55,328	-54,491	1,167	-41,828	295	 
55,114	-54,467	1,167	-41,805	296	 
55,029	-54,453	1,167	-41,790	297	 
54,842	-54,429	1,167	-41,773	298	 
54,731	-54,410	1,167	-41,759	299	 
54,487	-54,391	1,167	-41,746	300	 
54,379	-54,370	1,166	-41,732	301	 
-0,001	-54,287	1,171	-41,714	302	 
-0,003	-54,265	1,171	-41,701	303	 
-0,003	-54,246	1,171	-41,683	304	 
-0,002	-54,223	1,171	-41,669	305	 
0,002	-54,208	1,170	-41,652	306	 
